,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,sentence,tag,label,tag_2
10,10,236,167,"Catastrophe losses reduced Aetna's net income by $50 million, including $36 million from Hugo. ",0 cause effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,cause,0 trigger1 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
11,11,490,62,Authoritarian China regards democratic and self-ruled Taiwan as its own territory and works to keep the island from becoming diplomatically isolated.,0 0 0 0 0 0 0 0 0 0 0 0 0 0 prevention 0 0 0 0 0 effect 0 0 0,prevent,0 0 0 0 0 0 0 0 0 0 0 0 0 0 trigger1 0 0 0 0 0 effect 0 0 0
12,12,406,337,"Several senior Israeli Foreign Ministry sources, who did n't want to be named because it would jeopardize their jobs, criticized Ayalon's treatment of Turkish Ambassador Ahmet Oguz Celikkol at the start of their meeting Monday.",0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 cause 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,cause,0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 trigger1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
13,13,501,73,"""Indonesia's economy struggled to gain any momentum in the first quarter of the year and a failure to contain the virus will hold back the recovery in the quarters ahead,"" Gareth Leather, Senior Asia Economist from Capital Economics said.",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 prevention 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,prevent,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 trigger1 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
14,14,473,44,"After putting her bassoon to one side for a while, she eventually managed to find some alternative projects -- particularly making records -- to keep her spirits up and stop herself from getting rusty.",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 prevention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0,prevent,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 trigger1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0
15,15,190,121,"By acquiring the shares, Lawrence Group increased its stake in Lawrence Insurance to 93.2% from 91.2%. ",0 cause 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0,cause,0 trigger1 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0
16,16,202,133,The action came in response to a petition filed by Timex Inc. for changes in the U.S. Generalized System of Preferences for imports from developing nations.,0 effect 0 0 0 0 0 0 cause 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,cause,0 effect 0 0 0 0 0 0 trigger1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
17,17,390,321,The company has acknowledged a software glitch that is causing problems with its braking.,0 0 0 effect 0 0 0 0 0 cause 0 0 0 0 0,cause,0 0 0 effect 0 0 0 0 0 trigger1 0 0 0 0 0
18,18,545,41,"The stadium is one of a growing list of venues across Melbourne visited by positive cases, leaving state health officials rushing to test and trace across the city of five million, which endured a devastating four-month lockdown after an outbreak last year.",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 condition 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,enable,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 trigger1 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
19,19,480,51,"""To avoid further interruptions in the service, they chose to leave 'the fork' which prevents the emergency brake from working.""",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 prevention 0 0 0 0 0 effect 0 0 0 0,prevent,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 trigger1 0 0 0 0 0 effect 0 0 0 0
20,20,543,39,The Supreme Court statement was issued as Prime Minister Pedro Sanchez's government was gearing up to grant a pardon to the separatists as a way of advancing talks over the Catalan separatist crisis.,0 0 0 0 0 0 0 0 0 0 0 0 condition 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0,enable,0 0 0 0 0 0 0 0 0 0 0 0 trigger1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0
21,21,264,195,"However, its equity in the net income of National Steel declined to $6.3 million from $10.9 million as a result of softer demand and lost orders following prolonged labor talks and a threatened strike. ",0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 cause 0 0 0 0 0 0 0 0 0,cause,0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 trigger1 0 0 0 0 0 0 0 0 0
22,22,154,85,"Ocean Drilling amp Exploration Co. will sell its contract-drilling business, and took a $50.9 million loss from discontinued operations in the third quarter because of the planned sale.    ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 cause 0 0,cause,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 trigger1 0 0
23,23,225,156,"The company also took a write-off of $150 million to cover losses on some fixed-price defense contracts, as some new managers took a hard look at the prospects for that slow-growing business. ",0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 cause 0 0 0 0 0 0 0 0 0 0,cause,0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 trigger1 0 0 0 0 0 0 0 0 0 0
24,24,48,48,"Because of program trading it is more difficult to trade many OTC stocks without sharp price moves, a condition known as illiquidity. ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
25,25,504,0,"""But the minute there's a new international arrest warrant from Italy, which was approved by the Supreme Federal Court of Brazil, the Brazilian federal police can no longer order the expulsion"" he explained.",0 0 0 0 0 0 0 0 0 condition 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0,enable,0 0 0 0 0 0 0 0 0 trigger1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0
26,26,161,92,"Earlier staff-reduction moves have trimmed about 300 jobs, the spokesman said. ",0 0 0 0 0 0 cause 0 0 0 0 0 0 effect 0,cause,0 0 0 0 0 0 trigger1 0 0 0 0 0 0 effect 0
27,27,569,65,"The funding will support increased unit production, enhanced customer experience, and the ongoing development of Kymeta's next generation capabilities.",0 condition 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0,enable,0 trigger1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0
28,28,127,58,And the U.S. is taking similar steps to ensure that its naval force is adequate to carry out a blockade of Iraq and support a war if necessary.,0 0 0 0 intention 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,intend,0 0 0 0 trigger1 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
29,29,364,295,"After a severe earthquake centered in Pakistan's Kashmir province killed more than 70,000 people in 2005, teams from a nonprofit architecture group based in London, England, helped the region start to rebuild.",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 cause 0 0 0 0 effect 0,cause,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 trigger1 0 0 0 0 effect 0
30,30,382,313,"And in 2004, Hurricane Jeanne killed more than 3,000 people as it passed north of Haiti, with most of the deaths in the northwestern city of Gonaives.",0 0 0 0 0 0 effect 0 0 0 0 0 0 cause 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,cause,0 0 0 0 0 0 effect 0 0 0 0 0 0 trigger1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
31,31,119,50,The Bushadministration considers the sanctions essential to keepingSaddam Hussein under control should he survive the war.,0 0 0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0,intend,0 0 0 0 trigger1 0 0 0 0 0 0 0 0 0 0 0 0
32,32,478,49,"But no announcements have been made since, and an initial explosion of angry social media posts about the affair quickly dried up as China's internet censors apparently moved to contain criticism over the public-safety breach.",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 prevention 0 0 0 0 0 0 0 0 0 0 effect 0,prevent,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 trigger1 0 0 0 0 0 0 0 0 0 0 effect 0
33,33,150,81,"Ocean Drilling amp Exploration Co. will sell its contract-drilling business, and took a $50.9 million loss from discontinued operations in the third quarter because of the planned sale.    ",0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 cause 0 0 0,cause,0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 trigger1 0 0 0
34,34,562,58,The addition of the AWS Middle East (UAE) Region will enable local customers with data residency requirements to store their data in the UAE while also providing even lower latency across the country.,0 0 0 0 condition 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,enable,0 0 0 0 trigger1 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
35,35,320,251,"Earlier this year, DPC Acquisition made a $15-a-share offer for Dataproducts, which the Dataproducts board said it rejected because the $283.7 million offer was not fully financed. ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 cause 0,cause,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 trigger1 0
36,36,242,173,"StatesWest Airlines, Phoenix, Ariz., said it withdrew its offer to acquire Mesa Airlines because the Farmington, N.M., carrier did n't respond to its offer by the close of business yesterday, a deadline StatesWest had set for a response.    ",0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 cause 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,cause,0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 trigger1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
37,37,66,66,"Mr. Vaux said that if no agreement is reached, other buyers will be sought by bid or auction. ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
38,38,486,58,"""To avoid further interruptions in the service, they chose to leave in 'the fork', which prevents the emergency brake from working,"" said Cicognani.",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 prevention 0 0 0 0 0 0 effect 0 0 0 0 0 0 0,prevent,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 trigger1 0 0 0 0 0 0 effect 0 0 0 0 0 0 0
39,39,196,127,"The latest quarter's results, however , included a pretax gain of $13.7 million, or 20 cents a share, in the carrying value of the company's investment in Conner Peripherals Inc. and a $7.6 million gain, or 11 cents a share, from the sale of one million Conner shares.    ",0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 cause 0 0 0 0 0 0 0,cause,0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 trigger1 0 0 0 0 0 0 0
40,40,84,15,"And to protect their reduced capital investment from eroding further, market makers became quicker to lower price quotes when sell programs are in progress. ",0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 prevention 0 0 0 0 0 0 0 0 0,prevent,0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 trigger1 0 0 0 0 0 0 0 0 0
41,41,55,55,"On days when prices are tumbling, they must be willing to buy shares from sellers when no one else will. ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
42,42,79,10,"Mr. Bush forestalled further diplomatic maneuvering byissuing an ultimatum on behalf of the allies demanding thatIraq withdraw within a week, starting at noon Saturday.",0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,prevent,0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
43,43,464,35,"President Joe Biden has pledged to work with opposition Republicans on key issues, and as Democrats control the Senate by a single vote, Schumer would need backing from several Republicans to forestall a potential filibuster that could block passage of the legislation.",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 prevention 0 0 0 0 0 0 effect 0,prevent,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 trigger1 0 0 0 0 0 0 effect 0
44,44,153,84,"Ocean Drilling amp Exploration Co. will sell its contract-drilling business, and took a $50.9 million loss from discontinued operations in the third quarter because of the planned sale.    ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 cause 0 0,cause,0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 trigger1 0 0
45,45,30,30,"In addition, CMS reported third-quarter net of $68.2 million, or 83 cents a share, up from $66.8 million, or 81 cents a share, a year ago. ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
46,46,479,50,"Gregori Volokhine, of Meeschaert Financial Services, said investors are becoming convinced the Fed eventually will take steps to keep inflation under wraps.",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 prevention 0 0 effect 0 0 0,prevent,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 trigger1 0 0 effect 0 0 0
47,47,122,53,"Mr. Drabinsky, who would have had the right to vote those shares for two years, said the purchase, subsequently rejected by regulators, was aimed at consolidating his control of the company. ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 intention 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0,intend,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 trigger1 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0
48,48,306,237,"Even as Saddam Hussein was searching for a ploy to ease his isolation, though, the international pressure against him clicked up another notch. ",0 0 0 0 0 0 0 0 0 0 0 0 cause 0 0 0 0 0 0 0 0 effect 0 0 0 0,cause,0 0 0 0 0 0 0 0 0 0 0 0 trigger1 0 0 0 0 0 0 0 0 effect 0 0 0 0
49,49,570,66,"For now, that would mean ""no one would represent Myanmar at the Seventy-fourth World Health Assembly"", according to the proposal, which was approved by WHO member states without a vote Wednesday morning.",0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 condition 0 0 0 0 0 0 0 0 0 0 0 0 0 0,enable,0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 trigger1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
50,50,149,80,"Ocean Drilling amp Exploration Co. will sell its contract-drilling business, and took a $50.9 million loss from discontinued operations in the third quarter because of the planned sale.    ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 cause 0 0 0,cause,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 trigger1 0 0 0
51,51,380,311,"Outside the capital, several people were hurt when they rushed to get out of a school in the southwestern city of Les Cayes, said the Rev.",0 0 0 0 0 0 0 effect 0 0 cause 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,cause,0 0 0 0 0 0 0 effect 0 0 trigger1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
52,52,591,87,"Greece's top archaeological advisory body Wednesday approved use of several key sites including the Acropolis for an upcoming shoot by French fashion house Dior, a culture ministry source said.",0 0 0 0 0 condition 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0,enable,0 0 0 0 0 trigger1 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0
53,53,370,301,"Even though the girl was on fire they kept hitting her and they were laughing as if they were enjoying what they were doing. """,0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 cause 0 0 0 0 0 0,cause,0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 trigger1 0 0 0 0 0 0
54,54,170,101,"Instead, Sununusought to prove to the president that his supporters outnumber his critics andthat he should remain in his post.;   One senior official Monday described theWhite House as ""a collection of small groups of aides holding their breaths,""waiting to see whether Sununu survives. ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0,cause,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0
55,55,299,230,"The company benefited from continued strong demand and higher selling prices for titanium dioxide, a white pigment used in paints, paper and plastics.    ",0 0 effect 0 0 0 cause 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,cause,0 0 effect 0 0 0 trigger1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
56,56,466,37,"A senior UN official has warned the Security Council that urgent measures are needed to avoid famine in the war-torn region of Tigray in Ethiopia, in a briefing seen by AFP.",0 0 0 0 0 0 0 0 0 0 0 prevention 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,prevent,0 0 0 0 0 0 0 0 0 0 0 trigger1 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
57,57,600,96,"The official said the central archaeological council had ""unanimously"" approved the shoots.",0 0 0 0 0 0 condition 0 0 0 0 0 0 effect 0,enable,0 0 0 0 0 0 trigger1 0 0 0 0 0 0 effect 0
58,58,550,46,"""We're excited to partner with Amazon and bring our trusted platform to new markets, empowering customers to succeed from anywhere by leveraging Hyperforce and all the advantages of public cloud computing.""",0 0 0 0 0 0 0 0 0 0 0 0 condition 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0,enable,0 0 0 0 0 0 0 0 0 0 0 0 trigger1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0
59,59,487,59,"The multi-year Everbridge symposium series offers global leaders a valuable forum to exchange best practices on how to protect people and business assets; build back and grow revenue streams; increase business resiliency; and mitigate potential threats like IT outages, cyber-attacks, natural disasters, and many other critical events.",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 prevention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,prevent,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 trigger1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
60,60,281,212,Iraq still  has the potential to cause significant problems by using forces and weapons that don't yet seem fully engaged.,0 0 0 0 0 0 0 0 effect 0 cause 0 0 0 0 0 0 0 0 0 0 0,cause,0 0 0 0 0 0 0 0 effect 0 trigger1 0 0 0 0 0 0 0 0 0 0 0
61,61,499,71,"General Motors, Ford's main competitor in the US market, pledged in January to stop making diesel- or gasoline-powered cars.",0 0 0 0 0 0 0 0 0 0 0 0 prevention 0 0 0 0 effect 0 0 0 0 0 0 0,prevent,0 0 0 0 0 0 0 0 0 0 0 0 trigger1 0 0 0 0 effect 0 0 0 0 0 0 0
62,62,284,215,"He argued setting an explicit deadline forSaddam Hussein to break would, when it was broken, give theU.S. military a clear green light to proceed.   ",0 0 0 0 0 0 0 0 0 cause 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0,cause,0 0 0 0 0 0 0 0 0 trigger1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0
63,63,321,252,"However, the company's petroleum services segment, while profitable, was hurt by high financing costs associated with the company's buy-out of a 50% stake in Eastman Christensen Co. from Texas Eastern Corp. last June. ",0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,cause,0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
64,64,334,265,"A senior dealer with Warburg Securities noted British Gas, the most active blue-chip stock at 20 million shares traded, was affected by the political implications of Mr. Lawson's departure and Mrs. Thatcher's cabinet shuffle.    ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 cause 0 0,cause,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 trigger1 0 0
65,65,319,250,"DPC Acquisition added that it has not begun discussions with financing sources, and said it expected to repay the amounts borrowed through proceeds of the liquidation.    ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 cause 0 0,cause,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 trigger1 0 0
66,66,232,163,"Ralston attributed its fourth-quarter slump partly to higher costs of ingredients in the pet food business as well as competitive pressures, which required higher advertising spending. ",0 0 0 0 0 0 effect 0 0 0 cause 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,cause,0 0 0 0 0 0 effect 0 0 0 trigger1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
67,67,295,226,Intel said it had corrected the problems and would start producing bugless chips next week.,0 0 0 0 cause 0 0 0 0 0 effect 0 0 0 0 0,cause,0 0 0 0 trigger1 0 0 0 0 0 effect 0 0 0 0 0
