,Unnamed: 0,sentence,tag,label
484,484,The United Nations has imposed an arms embargo on Afghanistan in an effort to prevent the spread of extremism.,0 0 0 0 0 0 prevention prevention 0 0 0 0 0 0 0 0 effect effect effect 0,prevent
2136,38,"The Americans say their battle planscall for operating against forces inside Iraq as far north asthe city of Basra, about 30 miles north of Kuwait, but saythere is n't  any plan to drive beyond that.   ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0
1152,121,"The Canadian government has announced a new program to help low-income families with the cost of internet access, providing up to $50 per month in assistance for those who qualify.",0 0 0 0 0 0 0 condition 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,enable
2156,58,"Martin Fabi, Innopac's president and chief executive, said Innopac viewed Mr. Pattison's decision to seek control as a ""very positive"" move. ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0
213,213,The European Union has imposed sanctions on Russia in an effort to prevent the government from further undermining democracy.,0 0 0 0 0 prevention 0 0 0 0 0 0 0 0 0 0 0 effect 0 0,prevent
1415,384,The rights offering is a way for the company to increase its shareholder base and strengthen its financial position.,0 0 condition 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0,enable
136,136,"The government has implemented a series of measures to prevent the illegal trafficking of drugs and weapons, including increased border security and increased penalties for those who violate drug laws.",0 0 0 0 0 0 0 prevention 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,prevent
1096,65,The government has also announced plans to invest in research and development initiatives to promote innovation and technological advancement.,0 0 0 0 0 0 0 condition 0 0 0 0 0 0 0 effect 0 0 0 0,enable
295,295,The United Nations has imposed a travel ban on Syria in an effort to prevent the country from committing human rights abuses.,0 0 0 0 0 0 0 prevention 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0,prevent
1926,347,"""We are focusing on creating a large, sustainable ecosystem where our o9 global organization will serve as an enabler of a much larger pool of skills and capabilities across partners, both consulting and technology.",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 condition 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0,enable
739,186,"The government is introducing a new law to protect the rights of immigrants, in an effort to ensure equal access to services and opportunities.",0 0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0,intend
465,465,The government has implemented a series of laws to prevent discrimination against minority groups.,0 0 0 0 0 0 0 prevention 0 0 effect 0 0 0 0,prevent
2005,426,"People arriving in France from Britain will have to self-isolate to prevent the spread of Covid-19, notably its Indian variant, government spokesman Gabriel Attal said on Wednesday.",0 0 0 0 0 0 0 0 0 prevention prevention prevention 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0,prevent
592,39,"The government has passed a law to increase access to healthcare, in an effort to improve public health and reduce health disparities.",0 0 0 intention 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0,intend
143,143,The government has implemented a series of measures to prevent the misuse of public funds for political gain.,0 0 0 0 0 0 0 prevention 0 0 0 effect 0 0 0 0 0 0 0,prevent
86,86,The United Nations has imposed an embargo on certain countries in an effort to prevent the spread of organized crime.,0 0 0 0 0 0 prevention 0 0 0 0 0 0 0 0 0 0 0 0 effect 0,prevent
2170,72,"If the allies succeed, Saddam Hussein will have plungedhis country first into a fruitless eight-year-long waragainst Iran and then into a humiliating war against the U.S.and the allies to defend his conquest of Kuwait, leaving muchof his country's military establishment and moderninfrastructure in ruins.   ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0
673,120,"The government has passed a new law to increase the availability of public transportation, in an effort to reduce traffic congestion and air pollution.",0 0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0,intend
1975,396,"It's an ideal example of how an individual voice can be magnified to create awareness for a good cause and ignite action among millions by using a site like Facebook. """,0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 cause 0 0 0 0 0 0,cause
516,516,"The government has implemented a series of measures to prevent the spread of poverty, including increased access to education and job training.",0 0 0 0 0 0 0 prevention 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0,prevent
408,408,The government has implemented a series of laws to prevent the exploitation of minority groups.,0 0 0 0 0 0 0 prevention 0 0 0 effect 0 0 0 0,prevent
1164,133,The European Commission has also proposed a new set of regulations to ensure that the merger is in line with European competition law.,0 0 0 0 0 0 0 0 0 0 condition 0 effect 0 0 0 0 0 0 0 0 0 0 0,enable
111,111,The United Nations has imposed an arms embargo on Sudan in an effort to prevent the country from committing genocide.,0 0 0 0 0 0 prevention prevention 0 0 0 0 0 0 0 0 0 0 effect effect 0,prevent
773,220,"The government passed a law to increase access to healthcare, in an effort to reduce health disparities and improve public health.",0 0 0 0 0 0 intention 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0,intend
2187,89,"""The reason this is getting so much visibility is that some started shipping and announced early availability,"" said Hewlett-Packard's Mr. Archuleta. ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0
265,265,The United Nations has imposed an arms embargo on certain countries in an effort to prevent the spread of illicit arms.,0 0 0 0 0 0 prevention prevention 0 0 0 0 0 0 0 0 0 0 0 effect effect 0,prevent
1683,104,"In the past two months the nation's 88 junk funds have lost a total of about $6 billion -- more than 15% of assets -- through sales or transfers of junk-fund shares, Dalbar says. ",0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 cause 0 0 0 0 0 0 0 0 0 0 0,cause
1553,67,The United Nations Security Council imposed economic sanctions on North Korea in an effort to curb its nuclear weapons program.,0 0 0 0 0 intention 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0,intend
1677,98,"The Google.cn filter, which returns censored search results, was created after the original form of the U.S. - based search engine was routinely slowed or blocked by China's Internet controls.",0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 cause 0 0 0 0 0 0,cause
528,528,"The government has implemented a series of measures to prevent the rise of extremism, including increased surveillance and increased regulation of hate speech.",0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 prevention 0 0 0 0 0 0 0 0,prevent
371,371,The United Nations has imposed an arms embargo on Pakistan in an effort to prevent the spread of terrorism.,0 0 0 0 0 0 prevention prevention 0 0 0 0 0 0 0 0 effect effect effect 0,prevent
438,438,"The government has implemented a series of measures to prevent the spread of infectious diseases, including increased vaccinations and improved sanitation standards.",0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 prevention 0 0 0 0 0 0,prevent
1602,23,"The company also took a write-off of $150 million to cover losses on some fixed-price defense contracts, as some new managers took a hard look at the prospects for that slow-growing business. ",0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 cause 0 0 0 0 0 0 0 0 0 0,cause
50,50,The United Nations has imposed sanctions on certain countries to prevent the proliferation of weapons of mass destruction.,0 0 0 0 0 prevention 0 0 0 0 0 0 0 0 effect effect effect effect 0,prevent
500,500,The government has implemented a series of measures to prevent the illegal smuggling of drugs.,0 0 0 0 0 0 0 prevention 0 0 0 0 effect 0 0 0,prevent
315,315,The government has implemented a series of laws to prevent the exploitation of immigrants.,0 0 0 0 0 0 0 prevention 0 0 0 effect 0 0 0,prevent
1079,48,The United Nations has passed a resolution calling for an end to the conflict in Syria.,0 0 0 0 0 0 condition 0 0 0 effect 0 0 0 0 0 0,enable
1822,243,"In addition, Courtaulds said the moves are logical because they will allow both the chemicals and textile businesses to focus more closely on core activities.    ",0 0 0 0 0 0 condition 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0,enable
614,61,The government passed a law to increase access to renewable energy sources and reduce reliance on fossil fuels.,0 0 intention 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0,intend
1146,115,The United States has imposed tariffs on Chinese imports in an effort to protect American businesses from unfair competition.,0 0 0 0 0 condition 0 0 0 0 0 0 0 effect 0 0 0 0 0 0,enable
535,535,The government has implemented a series of laws to prevent the exploitation of vulnerable populations.,0 0 0 0 0 0 0 prevention 0 0 0 effect 0 0 0 0,prevent
1134,103,The United Nations has agreed to a new resolution that requires all member states to ensure that their economic policies are in line with global standards.,0 0 0 0 condition 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0,enable
298,298,The United Nations has imposed a travel ban on North Korea in an effort to prevent the country from destabilizing the region.,0 0 0 0 0 0 0 prevention 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0,prevent
1081,50,The United States has imposed new tariffs on Chinese imports in an effort to reduce the trade deficit.,0 0 0 0 0 0 condition 0 0 0 0 0 0 0 effect 0 0 0 0,enable
1886,307,"""I don't know what really happened in front of me, but I came into the corner and saw some guys on the ground and I couldn't pass on the right side because I was next to another guy, so I didn't have any chances to avoid a crash.",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 condition 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0,enable
1669,90,"Ottawa has invested Can$36.5 million (US$30 million) over the past year to advance lunar and space technologies including micro-rovers, and to build a third-generation robotic arm dubbed Canadarm3.",condition 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,enable
299,299,The United Nations has imposed economic sanctions on a country in an effort to prevent it from supporting extremist groups.,0 0 0 0 0 0 prevention 0 0 0 0 0 0 0 0 0 0 effect 0 0 0,prevent
287,287,The government has implemented a series of measures to prevent the abuse of power by public officials.,0 0 0 0 0 0 0 prevention 0 0 0 effect 0 0 0 0 0 0,prevent
850,297,"The government is introducing a new law to protect the rights of immigrants, in an effort to promote cultural diversity and combat xenophobia.",0 0 0 0 0 0 0 0 intention 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0,intend
742,189,"The government is introducing a new law to protect the rights of LGBTQ+ people, in an effort to ensure equal access to services and opportunities.",0 0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0,intend
1522,36,",The government has implemented a series of reforms to promote religious freedom and reduce discrimination.",0 0 0 0 0 0 0 0 0 0 intention effect 0 0 0 0 0,intend
990,437,"The government passed a law to increase access to financial services, in an effort to reduce inequality and promote economic growth.",0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0,intend
1858,279,Total said it would continue to produce gas so as not to disrupt electricity supply in either country.,0 0 0 0 0 0 prevention 0 0 0 0 0 effect 0 0 0 0 0 0,prevent
101,101,"The government has implemented a series of measures to prevent the exploitation of natural resources, including increased regulation and increased penalties for those who engage in illegal activities.",0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 prevention 0 0 0 0 0 0 0 0 0 0 0 0,prevent
1961,382,"Dataproducts Inc. said it filed a lawsuit in Delaware Chancery Court to block a tender offer by DPC Acquisition Partners, alleging that the hostile offer violates a standstill agreement between the two concerns.    ",0 0 0 0 prevention 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0,prevent
1192,161,The United Nations has adopted a resolution calling for an end to the use of cluster munitions in armed conflicts.,0 0 0 0 0 0 condition 0 0 0 effect 0 0 0 0 0 0 0 0 0 0,enable
1604,25,"""But the minute there's a new international arrest warrant from Italy, which was approved by the Supreme Federal Court of Brazil, the Brazilian federal police can no longer order the expulsion"" he explained.",0 0 0 0 0 0 0 0 0 condition 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0,enable
597,44,"The government is introducing a new law to protect the rights of indigenous peoples, in an effort to promote cultural diversity and respect for traditional knowledge.",0 0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0,intend
1579,0,Each right entitles the shareholder  to buy $100 face amount of 13.5% bonds due 1993 and warrants  to buy 23.5 common shares at 30 cents a share.,0 condition 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0,enable
155,155,The United Nations has imposed an arms embargo on the Central African Republic in an effort to prevent the country from destabilizing the region.,0 0 0 0 0 0 prevention prevention 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0,prevent
181,181,The United Nations has imposed an arms embargo on Syria in an effort to prevent further violence and conflict.,0 0 0 0 0 0 prevention prevention 0 0 0 0 0 0 0 0 effect 0 0 0,prevent
681,128,"The government is introducing a new law to protect the rights of workers, in an effort to ensure fair wages and safe working conditions.",0 0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0,intend
2037,458,"As the census gets underway, Prewitt said trying to count everyone, as mandated by the Constitution, should be the top concern.""",0 0 0 0 0 0 0 0 effect 0 0 0 0 0 cause 0 0 0 0 0 0 0 0 0 0 0,cause
706,153,The government passed a law to protect the rights of immigrants and ensure access to basic services.,0 0 intention 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0,intend
1064,33,The company has also announced that it will be investing in new social programs to support the local community.,0 0 0 0 0 0 0 0 0 condition 0 0 0 0 0 effect 0 0 0 0,enable
173,173,"The government has taken steps to prevent the spread of terrorism, including introducing new laws to monitor suspicious activity.",0 0 0 prevention 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0,prevent
2193,95,"The company said it estimates the Desert Inn remodeling will cost about $32 million, and the refurbishment of the three DC-8-62 aircraft, made by McDonnell Douglas Corp., will cost around $24.5 million.    ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0
206,206,The United Nations has imposed an arms embargo on Somalia in an effort to prevent the country from engaging in further conflict.,0 0 0 0 0 0 prevention prevention 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0,prevent
214,214,The United Nations has imposed an arms embargo on North Korea in an effort to prevent further violence and human rights abuses.,0 0 0 0 0 0 0 prevention 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0,prevent
1807,228,Last Friday's announcement was the first official word that the project was in trouble and that the company's plans for a surge in market share may have been overly optimistic.,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0
1441,410,The International Monetary Fund has been advocating for fiscal austerity measures to reduce government debt and promote economic growth.,0 0 0 0 0 0 0 0 0 condition 0 0 effect 0 0 0 0 0 0 0,enable
1382,351,The United States Congress has passed a bill that increases funding for renewable energy sources.,0 0 0 0 0 0 0 condition 0 effect 0 0 0 0 0 0,enable
1772,193,Campenaerts' withdrawal leaves the South African team down to five riders with the race to finish in Milan on Sunday after the withdrawals of Italians Domenico Pozzovivo and Giacomo Nizzolo.,0 0 condition effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,enable
253,253,The government has implemented a series of laws to prevent the exploitation of natural resources.,0 0 0 0 0 0 0 prevention 0 0 0 effect 0 0 0 0,prevent
545,545,The government has implemented a series of measures to prevent the sale of weapons to terrorists.,0 0 0 0 0 0 0 prevention 0 0 0 0 0 effect 0 0 0,prevent
1791,212,"In such an environment, market makers can suffer huge losses both on trades made that day at steadily dropping prices and in the value of their inventories of shares.    ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0
122,122,The United States has imposed economic sanctions on North Korea in an effort to prevent the country from developing nuclear weapons.,0 0 0 0 0 prevention prevention 0 0 0 0 0 0 0 0 0 0 0 0 effect effect 0,prevent
2006,427,"The debate over how to alleviate those shortages has intensified in recent years, pitching advocates of privatization programs against those who say water is a public good and that its collection and distribution should remain in the public sector.",0 0 0 0 0 0 0 0 0 cause 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,cause
419,419,"The government has implemented a series of measures to prevent the exploitation of natural resources, including increased regulation and enforcement.",0 0 0 0 0 0 0 prevention 0 0 0 effect 0 0 0 0 0 0 0 0 0 0,prevent
846,293,The government passed a law to protect the rights of Indigenous peoples and promote reconciliation.,0 0 intention 0 0 0 effect 0 0 0 0 0 0 0 0 0,intend
1255,224,The European Union has passed a resolution to increase the number of refugees it will accept from war-torn countries.,0 0 0 0 0 0 condition 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0,enable
296,296,The United States and its allies have imposed economic sanctions on Iran in an effort to prevent the country from developing nuclear weapons.,0 0 0 0 0 0 0 0 prevention prevention 0 0 0 0 0 0 0 0 0 0 effect 0 0 0,prevent
273,273,The Federal Reserve Board raised interest rates in an effort to prevent the economy from overheating.,0 0 0 0 prevention 0 0 0 0 0 0 0 0 0 0 effect 0,prevent
1501,15," ,The president proposed a new tax plan to increase revenue and reduce the budget deficit.",0 0 0 0 intention 0 0 0 0 0 effect 0 0 0 0 0 0 0,intend
549,549,The United Nations has imposed economic sanctions on a country in an effort to prevent it from supporting terrorist activities.,0 0 0 0 0 0 prevention 0 0 0 0 0 0 0 0 0 0 0 effect 0 0,prevent
76,76,The United Nations has passed a resolution to prevent the destruction of the environment.,0 0 0 0 0 0 prevention 0 0 0 effect 0 0 0 0,prevent
2130,32,The directors added that the two executives have n't reached a final decision to proceed with a bid and that until an offer is made the board will continue seeking higher offers from other bidders.,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0
1341,310,The United Nations has passed a resolution calling for an end to the violence in Syria.,0 0 0 0 0 0 condition 0 0 0 effect 0 0 0 0 0 0,enable
617,64,The government passed a law to increase access to job training and reduce unemployment.,0 0 intention 0 0 0 0 0 0 0 0 0 effect 0 0,intend
1269,238,The United Nations has passed a resolution calling for an end to the use of forced displacement in conflict zones.,0 0 0 0 0 0 condition 0 0 0 effect 0 0 0 0 0 0 0 0 0 0,enable
791,238,The government passed a law to increase access to public transportation in an effort to reduce traffic congestion.,0 0 0 0 0 0 intention 0 0 0 0 0 0 0 0 effect 0 0 0,intend
969,416,"The government is introducing a new law to protect the rights of religious minorities, in an effort to promote religious freedom.",0 0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0,intend
468,468,"The government has implemented a series of measures to prevent the spread of corruption, including increased transparency and improved accountability.",0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 prevention 0 0 0 0 0,prevent
930,377,The government passed a law to protect the rights of immigrants and refugees in an effort to promote social justice.,0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0,intend
1865,286,"Even before her 18th birthday, Maria had already been enslaved by a gang of human traffickers and held in captivity for four months in her homeland of Mexico.",0 0 0 0 0 0 0 0 0 0 cause 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0,cause
1128,97,The government has also announced that it will be introducing new programs to support small businesses and entrepreneurs.,0 0 0 0 0 0 0 0 0 0 0 condition 0 effect 0 0 0 0 0,enable
1726,147,The 51-year-old Italian has been at loggerheads with the cash-strapped club's owners Suning over planned cost cutting which would prevent him building the team he wants to challenge at home and in Europe.,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 prevention prevention 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0,prevent
1245,214,The government has implemented a new policy to reduce poverty and inequality in the country.,0 0 0 0 0 0 condition 0 effect 0 0 0 0 0 0 0,enable
210,210,The United States has imposed sanctions on Russia in an effort to prevent the country from interfering in other nations' elections.,0 0 0 0 0 prevention 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0,prevent
42,42,The government has implemented a series of laws to protect the public from the spread of fake news.,0 0 0 0 0 0 0 prevention 0 0 0 0 0 0 effect effect effect effect 0,prevent
1050,19,The Canadian government has announced a new policy to ensure that all Canadians have access to high-quality health care.,0 0 0 0 0 0 0 condition 0 0 0 0 0 0 effect 0 0 0 0 0 0 0,enable
1057,26,The government has also announced that it will be investing in research and development to create new technologies and products.,0 0 0 0 0 0 0 0 0 condition 0 0 0 0 0 effect 0 0 0 0 0,enable
1873,294,"Acquisition has launched a suit in a Delaware court seeking the withdrawal of Dunkin's poison pill rights and employee stock ownership plans, which it claims were put in place to deter bidders. ",0 0 intention 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,intend
1144,113,The United Nations has adopted a resolution calling for an end to the conflict in Syria.,0 0 0 0 condition 0 0 0 0 0 effect 0 0 0 0 0 0,enable
508,508,The United States and its allies have imposed economic sanctions on Venezuela in an effort to prevent the country from destabilizing the region.,0 0 0 0 0 0 0 0 0 prevention 0 0 0 0 0 0 0 0 0 0 effect 0 0 0,prevent
776,223,"The government passed a law to increase access to clean energy sources, in an effort to reduce greenhouse gas emissions and combat climate change.",0 0 0 0 0 0 intention 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0,intend
1682,103,"An international land, sea and air force  has mobilized sinceIraq's invasion, which  was sparked by disputes over oil, land andrepayment of war loans.   ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 cause 0 0 0 0 0 0 0 0 0 0,cause
1076,45,The United Nations has declared a new resolution to end the conflict in the Middle East.,0 0 0 0 0 0 0 condition 0 effect 0 0 0 0 0 0 0,enable
2045,466,"Since hitting a record 5.6 per cent in July last year, Japan's jobless rate has been falling steadily after it launched an emergency programme to create 100,000 jobs in October to ease the worsening social effects of high unemployment.",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 cause 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,cause
1745,166,"Junk-fund holders have barely broken even this year, as fat interest payments barely managed to offset declining prices. ",0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 cause 0 0 0 0 0,cause
193,193,The government has implemented a series of measures to prevent the illegal trade of wildlife.,0 0 0 0 0 0 0 prevention 0 0 0 0 effect 0 0 0,prevent
